escenario,dd,profit
A17,4.18,-1.30
B17,4.28,-2.18
C17,6.61,-6.95
D17,3.10,-1.26
E17,1.71,-0.71
F17,7.47,-12.13
G17,5.43,-7.14
H17,4.37,-3.78
I17,4.66,-3.02
J17,6.52,-4.78
K17,4.30,-1.15
L17,6.16,-7.86
A18,10.32,-18.56
B18,8.84,-15.22
C18,7.18,-16.32
D18,2.23,-0.44
E18,4.47,-2.39
F18,5.33,-9.64
G18,6.20,-2.70
H18,5.69,-4.78
I18,4.04,-0.82
J18,3.93,-1.19
K18,3.97,-9.31
L18,4.10,-1.83
A19,3.05,-1.69
B19,3.87,-1.21
C19,4.39,-5.20
D19,2.69,-1.02
E19,4.67,-1.89
F19,8.12,-14.42
G19,4.69,-7.22
H19,7.71,-7.15
I19,5.97,-5.46
J19,3.12,-0.82
K19,-0.13,-10.43
L19,2.04,-0.56
A20,4.19,-4.19
B20,0.83,-15.78
